name,price,image_url,scroll_batch,sku,short_description,detail_url,loaded_via_scroll
Gwyn Endurance Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws01-black_main.jpg,12,WS01,This is a variable product called a Gwyn Endurance Tee,https://scrapingcourse.com/ecommerce/product/gwyn-endurance-tee,True
Gabrielle Micro Sleeve Top,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws02-green_main.jpg,12,WS02,This is a variable product called a Gabrielle Micro Sleeve Top,https://scrapingcourse.com/ecommerce/product/gabrielle-micro-sleeve-top,True
Iris Workout Top,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws03-red_main.jpg,12,WS03,This is a variable product called a Iris Workout Top,https://scrapingcourse.com/ecommerce/product/iris-workout-top,True
Layla Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws04-green_main.jpg,12,WS04,This is a variable product called a Layla Tee,https://scrapingcourse.com/ecommerce/product/layla-tee,True
Desiree Fitness Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws05-black_main.jpg,12,WS05,This is a variable product called a Desiree Fitness Tee,https://scrapingcourse.com/ecommerce/product/desiree-fitness-tee,True
Elisa EverCool&trade; Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws06-purple_main.jpg,12,WS06,This is a variable product called a Elisa EverCool™ Tee,https://scrapingcourse.com/ecommerce/product/elisa-evercool&trade;-tee,True
Juliana Short-Sleeve Tee,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws07-black_main.jpg,12,WS07,This is a variable product called a Juliana Short-Sleeve Tee,https://scrapingcourse.com/ecommerce/product/juliana-short-sleeve-tee,True
Minerva LumaTech&trade; V-Tee,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws08-blue_main.jpg,12,WS08,This is a variable product called a Minerva LumaTech™ V-Tee,https://scrapingcourse.com/ecommerce/product/minerva-lumatech&trade;-v-tee,True
Tiffany Fitness Tee,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws09-blue_main.jpg,13,WS09,This is a variable product called a Tiffany Fitness Tee,https://scrapingcourse.com/ecommerce/product/tiffany-fitness-tee,True
Karissa V-Neck Tee,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws10-red_main.jpg,13,WS10,This is a variable product called a Karissa V-Neck Tee,https://scrapingcourse.com/ecommerce/product/karissa-v-neck-tee,True
Diva Gym Tee,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws11-yellow_main.jpg,13,WS11,This is a variable product called a Diva Gym Tee,https://scrapingcourse.com/ecommerce/product/diva-gym-tee,True
Radiant Tee,$22,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws12-orange_main.jpg,13,WS12,This is a variable product called a Radiant Tee,https://scrapingcourse.com/ecommerce/product/radiant-tee,True
Fiona Fitness Short,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh01-black_main.jpg,13,WSH01,This is a variable product called a Fiona Fitness Short,https://scrapingcourse.com/ecommerce/product/fiona-fitness-short,True
Maxima Drawstring Short,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh02-gray_main.jpg,13,WSH02,This is a variable product called a Maxima Drawstring Short,https://scrapingcourse.com/ecommerce/product/maxima-drawstring-short,True
Gwen Drawstring Bike Short,$50,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh03-gray_main.jpg,13,WSH03,This is a variable product called a Gwen Drawstring Bike Short,https://scrapingcourse.com/ecommerce/product/gwen-drawstring-bike-short,True
Artemis Running Short,$45,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh04-black_main.jpg,13,WSH04,This is a variable product called a Artemis Running Short,https://scrapingcourse.com/ecommerce/product/artemis-running-short,True
Bess Yoga Short,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh05-blue_main.jpg,13,WSH05,This is a variable product called a Bess Yoga Short,https://scrapingcourse.com/ecommerce/product/bess-yoga-short,True
Angel Light Running Short,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh06-gray_main.jpg,13,WSH06,This is a variable product called a Angel Light Running Short,https://scrapingcourse.com/ecommerce/product/angel-light-running-short,True
Echo Fit Compression Short,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh07-black_main.jpg,14,WSH07,This is a variable product called a Echo Fit Compression Short,https://scrapingcourse.com/ecommerce/product/echo-fit-compression-short,True
Sybil Running Short,$44,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh08-purple_main.jpg,14,WSH08,This is a variable product called a Sybil Running Short,https://scrapingcourse.com/ecommerce/product/sybil-running-short,True
Mimi All-Purpose Short,$44,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh09-gray_main.jpg,14,WSH09,This is a variable product called a Mimi All-Purpose Short,https://scrapingcourse.com/ecommerce/product/mimi-all-purpose-short,True
Ana Running Short,$40,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh10-black_main.jpg,14,WSH10,This is a variable product called a Ana Running Short,https://scrapingcourse.com/ecommerce/product/ana-running-short,True
Ina Compression Short,$49,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh11-blue_main.jpg,14,WSH11,This is a variable product called a Ina Compression Short,https://scrapingcourse.com/ecommerce/product/ina-compression-short,True
Erika Running Short,$49,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh12-green_main.jpg,14,WSH12,This is a variable product called Erika Running Shorts,https://scrapingcourse.com/ecommerce/product/erika-running-short,True
Bella Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt01-blue_main.jpg,14,WT01,This is a variable product called a Bella Tank,https://scrapingcourse.com/ecommerce/product/bella-tank,True
Zoe Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt02-orange_main.jpg,14,WT02,This is a variable product called a Zoe Tank,https://scrapingcourse.com/ecommerce/product/zoe-tank,True
Nora Practice Tank,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt03-red_main.jpg,14,WT03,This is a variable product called a Nora Practice Tank,https://scrapingcourse.com/ecommerce/product/nora-practice-tank,True
Nona Fitness Tank,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt04-blue_main.jpg,14,WT04,This is a variable product called a Nona Fitness Tank,https://scrapingcourse.com/ecommerce/product/nona-fitness-tank,True
Leah Yoga Top,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt05-purple_main.jpg,15,WT05,This is a variable product called a Leah Yoga Top,https://scrapingcourse.com/ecommerce/product/leah-yoga-top,True
Chloe Compete Tank,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt06-blue_main.jpg,15,WT06,This is a variable product called a Chloe Compete Tank,https://scrapingcourse.com/ecommerce/product/chloe-compete-tank,True
Maya Tunic,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt07-green_main.jpg,15,WT07,This is a variable product called a Maya Tunic,https://scrapingcourse.com/ecommerce/product/maya-tunic,True
Antonia Racer Tank,$34,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt08-black_main.jpg,15,WT08,This is a variable product called a Antonia Racer Tank,https://scrapingcourse.com/ecommerce/product/antonia-racer-tank,True
Breathe-Easy Tank,$34,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt09-white_main.jpg,15,WT09,This is a variable product called a Breathe-Easy Tank,https://scrapingcourse.com/ecommerce/product/breathe-easy-tank,True
